Reading	X	Y	Z	L*	a*	b*
1	31.895356	34.154977	26.500568	65.085398	-3.707598	2.825614
2	31.897987	34.156122	26.492878	65.086305	-3.701999	2.840426
3	31.893262	34.153673	26.477406	65.084367	-3.710722	2.863754
4	31.897292	34.159293	26.483376	65.088814	-3.715327	2.861129
5	31.852994	34.133301	26.354267	65.068242	-3.786810	3.048567
6	31.891762	34.149417	26.484626	65.080998	-3.701623	2.845500
7	31.902468	34.152915	26.514531	65.083767	-3.674867	2.798748
8	31.917546	34.161677	26.563648	65.090700	-3.650279	2.726158
9	31.882118	34.145905	26.446791	65.078219	-3.724501	2.905952
10	31.878164	34.140915	26.441020	65.074269	-3.721768	2.909100
