Reading	X	Y	Z	L*	a*	b*
1	21.025483	23.472515	22.523885	55.555749	-7.478905	-6.378721
2	21.013291	23.465997	22.551777	55.549124	-7.508533	-6.443679
3	20.936000	23.387807	22.552928	55.469568	-7.534984	-6.583054
4	20.862658	23.336109	22.471970	55.416869	-7.659170	-6.518407
5	20.880515	23.361094	22.438579	55.442348	-7.683378	-6.410229
6	20.879909	23.358531	22.445148	55.439734	-7.675016	-6.427379
7	20.918486	23.396990	22.444939	55.478921	-7.659124	-6.359414
8	20.876470	23.363777	22.379033	55.445083	-7.714556	-6.290783
9	20.906315	23.392270	22.413473	55.474114	-7.696684	-6.307111
10	20.915594	23.404487	22.385562	55.486554	-7.705873	-6.231870
