Reading	X	Y	Z	L*	a*	b*
1	10.321346	13.244148	14.467400	43.128836	-17.459151	-10.004077
2	10.319978	13.245210	14.476653	43.130417	-17.476458	-10.025214
3	10.311968	13.241435	14.449619	43.124798	-17.513675	-9.965156
4	10.316447	13.244525	14.438712	43.129398	-17.499140	-9.929063
5	10.312819	13.238109	14.432748	43.119848	-17.485804	-9.930124
6	10.297260	13.229519	14.399650	43.107058	-17.550095	-9.866600
7	10.312368	13.238653	14.439587	43.120658	-17.492761	-9.946393
8	10.284756	13.226328	14.357457	43.102304	-17.625667	-9.765518
9	10.315834	13.238696	14.445064	43.120722	-17.466451	-9.960426
10	10.295874	13.224144	14.402199	43.099051	-17.526232	-9.886999
