Reading	X	Y	Z	L*	a*	b*
1	5.284868	6.380097	8.218794	30.351852	-9.863191	-12.801140
2	5.294038	6.385610	8.231572	30.365197	-9.810922	-12.826155
3	5.299458	6.383905	8.265339	30.361072	-9.728312	-12.959942
4	5.270314	6.366259	8.184968	30.318316	-9.893146	-12.731584
5	5.284751	6.377804	8.204584	30.346298	-9.840650	-12.757248
6	5.288026	6.376294	8.229940	30.342639	-9.785659	-12.858919
7	5.302236	6.384197	8.256516	30.361779	-9.698147	-12.925660
8	5.278226	6.369266	8.201954	30.325606	-9.829658	-12.783023
9	5.297161	6.378411	8.275616	30.347768	-9.698437	-13.021364
10	5.268286	6.363108	8.164610	30.310673	-9.884544	-12.667934
12	5.286062	6.373878	8.228023	30.336786	-9.783952	-12.861808
