Reading	X	Y	Z	L*	a*	b*
1	22.711235	25.048610	25.268091	57.122753	-6.396021	-8.745802
2	22.609043	24.943588	25.143454	57.020415	-6.418748	-8.700212
3	22.607656	24.940970	25.140083	57.017860	-6.414043	-8.698602
4	22.625736	24.962228	25.149621	57.038599	-6.421267	-8.679863
5	22.626028	24.963354	25.147599	57.039698	-6.424675	-8.674362
6	22.630808	24.967911	25.147887	57.044142	-6.422116	-8.667213
7	22.625723	24.963405	25.139251	57.039747	-6.426274	-8.659381
8	22.632827	24.971081	25.142402	57.047233	-6.426269	-8.652096
9	22.634492	24.972231	25.146804	57.048354	-6.423535	-8.658017
10	22.757628	25.098616	25.301435	57.171380	-6.395504	-8.721239
