Reading	X	Y	Z	L*	a*	b*
1	7.946230	9.583369	12.790407	37.084052	-11.222924	-15.921726
2	7.946334	9.582202	12.790233	37.081897	-11.212679	-15.924955
3	7.945638	9.581696	12.788552	37.080961	-11.215001	-15.921860
4	7.948968	9.585350	12.793446	37.087709	-11.213697	-15.923932
5	7.944690	9.581902	12.788124	37.081342	-11.225297	-15.920006
6	7.943754	9.581110	12.785199	37.079879	-11.227535	-15.914337
7	7.946497	9.582821	12.785924	37.083039	-11.216121	-15.910918
8	7.954498	9.589231	12.801308	37.094872	-11.194115	-15.933587
9	7.950132	9.585710	12.795573	37.088373	-11.205934	-15.928743
10	7.944448	9.578351	12.787705	37.074784	-11.199236	-15.930141
