Reading	X	Y	Z	L*	a*	b*
1	17.786821	21.655780	21.361767	53.659861	-15.628478	-7.376484
2	17.839976	21.666391	21.572918	53.671236	-15.394257	-7.775521
3	17.804219	21.648659	21.474198	53.652224	-15.502791	-7.612909
4	17.812528	21.650335	21.494080	53.654021	-15.466250	-7.649210
5	17.830968	21.662690	21.544692	53.667269	-15.425122	-7.726554
6	17.796038	21.646526	21.435406	53.649936	-15.536546	-7.539912
7	17.812109	21.657501	21.470114	53.661705	-15.501601	-7.588467
8	17.831722	21.655707	21.567601	53.659782	-15.388831	-7.784762
9	17.821226	21.652901	21.531635	53.656774	-15.431771	-7.718820
10	17.822133	21.652367	21.538824	53.656201	-15.424467	-7.734030
