Reading	X	Y	Z	L*	a*	b*
1	6.405255	9.295129	10.393038	36.546419	-23.992732	-9.666209
2	6.389389	9.284946	10.358858	36.527225	-24.077331	-9.589267
3	6.418406	9.308832	10.405101	36.572229	-23.965484	-9.660486
4	6.429678	9.313977	10.432946	36.581913	-23.888674	-9.733183
5	6.441281	9.329243	10.468298	36.610624	-23.890539	-9.796944
6	6.459523	9.375096	10.477532	36.696676	-24.070105	-9.678120
7	6.487109	9.403386	10.549342	36.749630	-24.009686	-9.815977
8	6.464098	9.390118	10.469422	36.724807	-24.143431	-9.603673
9	6.481322	9.391852	10.541789	36.728053	-23.977181	-9.829123
10	6.481129	9.406476	10.505557	36.755407	-24.097100	-9.666417
