Reading	X	Y	Z	L*	a*	b*
1	3.106714	4.274881	6.916352	24.560128	-15.724185	-17.604935
2	3.214611	4.385736	7.154288	24.907741	-15.401533	-17.998110
3	3.188479	4.368504	7.091927	24.854094	-15.607548	-17.832633
4	3.191922	4.376297	7.081454	24.878370	-15.654441	-17.747304
5	3.200502	4.378449	7.098416	24.885072	-15.539601	-17.806138
6	3.184072	4.368355	7.072097	24.853627	-15.679500	-17.751089
7	3.180426	4.374278	7.027488	24.872084	-15.820323	-17.533455
8	3.182269	4.371591	7.041814	24.863713	-15.753261	-17.607643
9	3.202290	4.380501	7.096818	24.891456	-15.537201	-17.788505
10	3.213331	4.383086	7.141964	24.899500	-15.387382	-17.961459
